ID Programas;Prestación;Secretaría
12;Tarjeta Alimentar;SENAF
100;Becas Manuel Belgrano;Secretaría de Educación
145;Vouchers Educativos;Secretaría de Educación
19;Asignación por Embarazo;ANSES
20;Asignación Universal por Hijo (AUH);ANSES
21;AUH Discapacidad;ANSES
22;PUAM;ANSES
23;PNC Familiares Desaparecidos;ANSES
24;PNC Madres 7 Hijos;ANSES
25;PNC Congreso;ANSES
26;PNC Vejez;ANSES
27;PNC Veteranos;ANSES
31;Prestación por Desempleo;ANSES
83;Ley 1000 Días;ANSES
136;Jubilación;ANSES
137;Pensiones Derivadas;ANSES
138;Moratoria;ANSES
140;Deuda Previsional;ANSES
180;Contención Familiar;ANSES
181;PNC VIH/Hepatitis;ANSES
184;Pensión Contributiva;ANSES
185;Jubilación Anticipada;ANSES
187;Asignación Familiar por Prenatal;ANSES
188;Asignación Familiar por Hijo;ANSES
189;AAFF Hijos con Discapacidad;ANSES
190;Asignación por Maternidad;ANSES
191;Ayuda Escolar Anual;ANSES
192;Asignación por Cónyuge;ANSES
